"platnost_datum","obec_text","obec_kod","obec_typ","pou_text","pou_csu_cis61_kod","pou_ruian_kod","pou_sidlo_obec_kod","orp_text","orp_csu_cis65_kod","orp_ruian_kod","orp_sidlo_obec_kod","okres_text","okres_csu_cis101_lau_kod","okres_csu_cis109_nuts_kod","okres_ruian_kod","kraj_text","kraj_zkratka","kraj_csu_cis100_kod","kraj_csu_cis108_nuts_kod","kraj_ruian_vusc_kod","region_text","region_csu_cis99_kod","region_csu_cis107_nuts_kod","region_ruian_kod","stat_text","stat_csu_cis97_kod","stat_csu_cis105_nuts_kod","stat_ruian_kod","odkaz_SMS","odkaz_RSO"
"2024-01-01","Abertamy","554979","Město","Ostrov","41061","1121","555428","Ostrov","4106","540","555428","Karlovy Vary","40436","CZ0412","3403","Karlovarský kraj","KVK","3051","CZ041","51","Severozápad","248","CZ04","43","Česká republika","19","CZ","1","https://apl.czso.cz/iSMS/cispol.jsp?kodcis=43&ciselid=341331","https://apl.czso.cz/irso4/cisdet.jsp?b=22&hkodcis=43&kodpol=554979&kodcis=43&kod=554979&ciselid=341331"
"2024-01-01","Adamov","581291","Město","Adamov","62011","2691","581291","Blansko","6201","1295","581283","Blansko","40703","CZ0641","3701","Jihomoravský kraj","JHM","3115","CZ064","116","Jihovýchod","264","CZ06","60","Česká republika","19","CZ","1","https://apl.czso.cz/iSMS/cispol.jsp?kodcis=43&ciselid=344183","https://apl.czso.cz/irso4/cisdet.jsp?b=22&hkodcis=43&kodpol=581291&kodcis=43&kod=581291&ciselid=344183"
"2024-01-01","Adamov","535826","Obec","České Budějovice","31021","647","544256","České Budějovice","3102","302","544256","České Budějovice","40282","CZ0311","3301","Jihočeský kraj","JHC","3034","CZ031","35","Jihozápad","230","CZ03","35","Česká republika","19","CZ","1","https://apl.czso.cz/iSMS/cispol.jsp?kodcis=43&ciselid=339319","https://apl.czso.cz/irso4/cisdet.jsp?b=22&hkodcis=43&kodpol=535826&kodcis=43&kod=535826&ciselid=339319"
"2024-01-01","Adamov","531367","Obec","Čáslav","21041","221","534005","Čáslav","2104","124","534005","Kutná Hora","40207","CZ0205","3205","Středočeský kraj","STC","3026","CZ020","27","Střední Čechy","221","CZ02","27","Česká republika","19","CZ","1","https://apl.czso.cz/iSMS/cispol.jsp?kodcis=43&ciselid=338781","https://apl.czso.cz/irso4/cisdet.jsp?b=22&hkodcis=43&kodpol=531367&kodcis=43&kod=531367&ciselid=338781"
"2024-01-01","Adršpach","547786","Obec","Teplice nad Metují","52012","2283","574538","Broumov","5201","1031","573922","Náchod","40584","CZ0523","3605","Královéhradecký kraj","HKK","3085","CZ052","86","Severovýchod","256","CZ05","51","Česká republika","19","CZ","1","https://apl.czso.cz/iSMS/cispol.jsp?kodcis=43&ciselid=340512","https://apl.czso.cz/irso4/cisdet.jsp?b=22&hkodcis=43&kodpol=547786&kodcis=43&kod=547786&ciselid=340512"
"2024-01-01","Albrechtice","598925","Obec","Havířov","81081","3565","555088","Havířov","8108","1791","555088","Karviná","40886","CZ0803","3803","Moravskoslezský kraj","MSK","3140","CZ080","132","Moravskoslezsko","281","CZ08","86","Česká republika","19","CZ","1","https://apl.czso.cz/iSMS/cispol.jsp?kodcis=43&ciselid=346278","https://apl.czso.cz/irso4/cisdet.jsp?b=22&hkodcis=43&kodpol=598925&kodcis=43&kod=598925&ciselid=346278"
"2024-01-01","Albrechtice","547981","Obec","Lanškroun","53061","2631","580511","Lanškroun","5306","1244","580511","Ústí nad Orlicí","40649","CZ0534","3611","Pardubický kraj","PAK","3093","CZ053","94","Severovýchod","256","CZ05","51","Česká republika","19","CZ","1","https://apl.czso.cz/iSMS/cispol.jsp?kodcis=43&ciselid=340539","https://apl.czso.cz/irso4/cisdet.jsp?b=22&hkodcis=43&kodpol=547981&kodcis=43&kod=547981&ciselid=340539"
"2024-01-01","Albrechtice nad Orlicí","576077","Obec","Týniště nad Orlicí","52082","2411","576859","Kostelec nad Orlicí","5208","1112","576361","Rychnov nad Kněžnou","40592","CZ0524","3607","Královéhradecký kraj","HKK","3085","CZ052","86","Severovýchod","256","CZ05","51","Česká republika","19","CZ","1","https://apl.czso.cz/iSMS/cispol.jsp?kodcis=43&ciselid=343596","https://apl.czso.cz/irso4/cisdet.jsp?b=22&hkodcis=43&kodpol=576077&kodcis=43&kod=576077&ciselid=343596"
"2024-01-01","Albrechtice nad Vltavou","549258","Obec","Písek","31083","868","549240","Písek","3108","400","549240","Písek","40312","CZ0314","3305","Jihočeský kraj","JHC","3034","CZ031","35","Jihozápad","230","CZ03","35","Česká republika","19","CZ","1","https://apl.czso.cz/iSMS/cispol.jsp?kodcis=43&ciselid=340692","https://apl.czso.cz/irso4/cisdet.jsp?b=22&hkodcis=43&kodpol=549258&kodcis=43&kod=549258&ciselid=340692"
"2024-01-01","Albrechtice v Jizerských horách","563528","Obec","Tanvald","51081","1694","563820","Tanvald","5108","787","563820","Jablonec nad Nisou","40533","CZ0512","3504","Liberecký kraj","LBK","3077","CZ051","78","Severovýchod","256","CZ05","51","Česká republika","19","CZ","1","https://apl.czso.cz/iSMS/cispol.jsp?kodcis=43&ciselid=342087","https://apl.czso.cz/irso4/cisdet.jsp?b=22&hkodcis=43&kodpol=563528&kodcis=43&kod=563528&ciselid=342087"
