"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","kodrso"
"CS","OKRES_LAU",109,"CZ0100","Praha","Praha","2008-01-01","9999-09-09",40924
"CS","OKRES_LAU",109,"CZ0201","Benešov","Benešov","2008-01-01","9999-09-09",40169
"CS","OKRES_LAU",109,"CZ0202","Beroun","Beroun","2008-01-01","9999-09-09",40177
"CS","OKRES_LAU",109,"CZ0203","Kladno","Kladno","2008-01-01","9999-09-09",40185
"CS","OKRES_LAU",109,"CZ0204","Kolín","Kolín","2008-01-01","9999-09-09",40193
"CS","OKRES_LAU",109,"CZ0205","Kutná Hora","Kutná Hora","2008-01-01","9999-09-09",40207
"CS","OKRES_LAU",109,"CZ0206","Mělník","Mělník","2008-01-01","9999-09-09",40215
"CS","OKRES_LAU",109,"CZ0207","Mladá Boleslav","Mladá Boleslav","2008-01-01","9999-09-09",40223
"CS","OKRES_LAU",109,"CZ0208","Nymburk","Nymburk","2008-01-01","9999-09-09",40231
"CS","OKRES_LAU",109,"CZ0209","Praha-východ","Praha-východ","2008-01-01","9999-09-09",40240
"CS","OKRES_LAU",109,"CZ020A","Praha-západ","Praha-západ","2008-01-01","9999-09-09",40258
"CS","OKRES_LAU",109,"CZ020B","Příbram","Příbram","2008-01-01","9999-09-09",40266
"CS","OKRES_LAU",109,"CZ020C","Rakovník","Rakovník","2008-01-01","9999-09-09",40274
"CS","OKRES_LAU",109,"CZ0311","České Budějovice","České Budějovice","2008-01-01","9999-09-09",40282
"CS","OKRES_LAU",109,"CZ0312","Český Krumlov","Český Krumlov","2008-01-01","9999-09-09",40291
"CS","OKRES_LAU",109,"CZ0313","Jindřichův Hradec","Jindřichův Hradec","2008-01-01","9999-09-09",40304
"CS","OKRES_LAU",109,"CZ0314","Písek","Písek","2008-01-01","9999-09-09",40312
"CS","OKRES_LAU",109,"CZ0315","Prachatice","Prachatice","2008-01-01","9999-09-09",40321
"CS","OKRES_LAU",109,"CZ0316","Strakonice","Strakonice","2008-01-01","9999-09-09",40339
"CS","OKRES_LAU",109,"CZ0317","Tábor","Tábor","2008-01-01","9999-09-09",40347
"CS","OKRES_LAU",109,"CZ0321","Domažlice","Domažlice","2008-01-01","9999-09-09",40355
"CS","OKRES_LAU",109,"CZ0322","Klatovy","Klatovy","2008-01-01","9999-09-09",40363
"CS","OKRES_LAU",109,"CZ0323","Plzeň-město","Plzeň-město","2008-01-01","9999-09-09",40371
"CS","OKRES_LAU",109,"CZ0324","Plzeň-jih","Plzeň-jih","2008-01-01","9999-09-09",40380
"CS","OKRES_LAU",109,"CZ0325","Plzeň-sever","Plzeň-sever","2008-01-01","9999-09-09",40398
"CS","OKRES_LAU",109,"CZ0326","Rokycany","Rokycany","2008-01-01","9999-09-09",40401
"CS","OKRES_LAU",109,"CZ0327","Tachov","Tachov","2008-01-01","9999-09-09",40410
"CS","OKRES_LAU",109,"CZ0411","Cheb","Cheb","2008-01-01","9999-09-09",40428
"CS","OKRES_LAU",109,"CZ0412","Karlovy Vary","Karlovy Vary","2008-01-01","9999-09-09",40436
"CS","OKRES_LAU",109,"CZ0413","Sokolov","Sokolov","2008-01-01","9999-09-09",40444
"CS","OKRES_LAU",109,"CZ0421","Děčín","Děčín","2008-01-01","9999-09-09",40452
"CS","OKRES_LAU",109,"CZ0422","Chomutov","Chomutov","2008-01-01","9999-09-09",40461
"CS","OKRES_LAU",109,"CZ0423","Litoměřice","Litoměřice","2008-01-01","9999-09-09",40479
"CS","OKRES_LAU",109,"CZ0424","Louny","Louny","2008-01-01","9999-09-09",40487
"CS","OKRES_LAU",109,"CZ0425","Most","Most","2008-01-01","9999-09-09",40495
"CS","OKRES_LAU",109,"CZ0426","Teplice","Teplice","2008-01-01","9999-09-09",40509
"CS","OKRES_LAU",109,"CZ0427","Ústí nad Labem","Ústí nad Labem","2008-01-01","9999-09-09",40517
"CS","OKRES_LAU",109,"CZ0511","Česká Lípa","Česká Lípa","2008-01-01","9999-09-09",40525
"CS","OKRES_LAU",109,"CZ0512","Jablonec nad Nisou","Jablonec nad Nisou","2008-01-01","9999-09-09",40533
"CS","OKRES_LAU",109,"CZ0513","Liberec","Liberec","2008-01-01","9999-09-09",40541
"CS","OKRES_LAU",109,"CZ0514","Semily","Semily","2008-01-01","9999-09-09",40550
"CS","OKRES_LAU",109,"CZ0521","Hradec Králové","Hradec Králové","2008-01-01","9999-09-09",40568
"CS","OKRES_LAU",109,"CZ0522","Jičín","Jičín","2008-01-01","9999-09-09",40576
"CS","OKRES_LAU",109,"CZ0523","Náchod","Náchod","2008-01-01","9999-09-09",40584
"CS","OKRES_LAU",109,"CZ0524","Rychnov nad Kněžnou","Rychnov nad Kněžnou","2008-01-01","9999-09-09",40592
"CS","OKRES_LAU",109,"CZ0525","Trutnov","Trutnov","2008-01-01","9999-09-09",40606
"CS","OKRES_LAU",109,"CZ0531","Chrudim","Chrudim","2008-01-01","9999-09-09",40614
"CS","OKRES_LAU",109,"CZ0532","Pardubice","Pardubice","2008-01-01","9999-09-09",40622
"CS","OKRES_LAU",109,"CZ0533","Svitavy","Svitavy","2008-01-01","9999-09-09",40631
"CS","OKRES_LAU",109,"CZ0534","Ústí nad Orlicí","Ústí nad Orlicí","2008-01-01","9999-09-09",40649
"CS","OKRES_LAU",109,"CZ0631","Havlíčkův Brod","Havlíčkův Brod","2008-01-01","9999-09-09",40657
"CS","OKRES_LAU",109,"CZ0632","Jihlava","Jihlava","2008-01-01","9999-09-09",40665
"CS","OKRES_LAU",109,"CZ0633","Pelhřimov","Pelhřimov","2008-01-01","9999-09-09",40673
"CS","OKRES_LAU",109,"CZ0634","Třebíč","Třebíč","2008-01-01","9999-09-09",40681
"CS","OKRES_LAU",109,"CZ0635","Žďár nad Sázavou","Žďár nad Sázavou","2008-01-01","9999-09-09",40690
"CS","OKRES_LAU",109,"CZ0641","Blansko","Blansko","2008-01-01","9999-09-09",40703
"CS","OKRES_LAU",109,"CZ0642","Brno-město","Brno-město","2008-01-01","9999-09-09",40711
"CS","OKRES_LAU",109,"CZ0643","Brno-venkov","Brno-venkov","2008-01-01","9999-09-09",40720
"CS","OKRES_LAU",109,"CZ0644","Břeclav","Břeclav","2008-01-01","9999-09-09",40738
"CS","OKRES_LAU",109,"CZ0645","Hodonín","Hodonín","2008-01-01","9999-09-09",40746
