"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","ROSFORMA",149,"100","Podnik. fyz.osoba tuzemská","Podnikající fyzická osoba tuzemská","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"111","Veř. obch.společnost","Veřejná obchodní společnost","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"112","Spol.s ručením omez.","Společnost s ručením omezeným","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"113","Spol.komanditní","Společnost komanditní","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"115","Společný podnik","Společný podnik","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"116","Zájmové sdružení","Zájmové sdružení","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"117","Nadace","Nadace","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"118","Nadační fond","Nadační fond","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"121","Akciová společnost","Akciová společnost","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"141","Obecně prosp.spol.","Obecně prospěšná společnost","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"145","Společ.vlast.jednotek","Společenství vlastníků jednotek","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"151","Komoditní burza","Komoditní burza","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"152","Garanč.fond obch.cen.p.","Garanční fond obchodníků s cennými papíry","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"161","Ústav","Ústav","2014-01-01","9999-09-09"
"CS","ROSFORMA",149,"205","Družstvo","Družstvo","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"301","Státní podnik","Státní podnik","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"302","Národní podnik","Národní podnik","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"313","Česká národní banka","Česká národní banka","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"325","Org. složka státu","Organizační složka státu","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"326","Stálý rozhodčí soud","Stálý rozhodčí soud","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"331","Přísp.org.komunální","Příspěvková organizace zřízená územním samosprávným celkem","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"332","Státní přísp.organizace","Státní příspěvková organizace","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"352","St.organizace Správa železnic","Státní organizace Správa železnic","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"353","Rada veř.dohl.nad aud.","Rada pro veřejný dohled nad auditem","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"361","Veřejnoprávní instituce","Veřejnoprávní instituce","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"362","Česká tisková kancelář","Česká tisková kancelář","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"381","Státní fond ze zákona","Státní fond ze zákona","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"382","Státní fond nezap.se do OR","Státní fond ze zákona nezapisující se do obchodního rejstříku","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"391","Zdrav.pojišť.(mimo VZP)","Zdravotní pojišťovna (mimo VZP)","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"392","Všeob.zdr.pojišťovna","Všeobecná zdravotní pojišťovna","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"421","Odšt.závod zahr.práv.os.","Odštěpný závod zahraniční právnické osoby","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"422","Org.sl.zahr. nad. fondu","Organizační složka zahraničního nadačního fondu","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"423","Org.sl.zahr.nadace","Organizační složka zahraniční nadace","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"424","Zahr. fyzická osoba","Zahraniční fyzická osoba","1900-01-01","9999-09-09"
"CS","ROSFORMA",149,"425","Odštěp.závod zahr. FO","Odštěpný závod zahraniční fyzické osoby","2013-10-01","9999-09-09"
"CS","ROSFORMA",149,"426","Zastoupení zahr.banky","Zastoupení zahraniční banky","2017-09-01","9999-09-09"
