"KODJAZ","AKRCIS","KODCIS","UROVEN","CHODNOTA","ZKRTEXT","TEXT","ADMPLOD","ADMNEPO","NADVAZ"
"CS","CZ_NACE_RES","80004","1","A","Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství","2008-01-01","9999-09-09",
"CS","CZ_NACE_RES","80004","2","01","Rostlinná a živočišná výroba, myslivost a souvis. činnosti","Rostlinná a živočišná výroba, myslivost a související činnosti","2008-01-01","9999-09-09","A"
"CS","CZ_NACE_RES","80004","3","011","Pěstování plodin jiných než trvalých","Pěstování plodin jiných než trvalých","2008-01-01","9999-09-09","01"
"CS","CZ_NACE_RES","80004","4","0111","Pěstování obilovin (kromě rýže), luštěnin a olejnatých semen","Pěstování obilovin (kromě rýže), luštěnin a olejnatých semen","2008-01-01","9999-09-09","011"
"CS","CZ_NACE_RES","80004","5","01110","Pěstování obilovin (kromě rýže), luštěnin a olejnatých semen","Pěstování obilovin (kromě rýže), luštěnin a olejnatých semen","2008-01-01","9999-09-09","0111"
"CS","CZ_NACE_RES","80004","4","0112","Pěstování rýže","Pěstování rýže","2008-01-01","9999-09-09","011"
"CS","CZ_NACE_RES","80004","5","01120","Pěstování rýže","Pěstování rýže","2008-01-01","9999-09-09","0112"
"CS","CZ_NACE_RES","80004","4","0113","Pěstování zeleniny a melounů, kořenů a hlíz","Pěstování zeleniny a melounů, kořenů a hlíz","2008-01-01","9999-09-09","011"
"CS","CZ_NACE_RES","80004","5","01130","Pěstování zeleniny a melounů, kořenů a hlíz","Pěstování zeleniny a melounů, kořenů a hlíz","2008-01-01","9999-09-09","0113"
"CS","CZ_NACE_RES","80004","4","0114","Pěstování cukrové třtiny","Pěstování cukrové třtiny","2008-01-01","9999-09-09","011"
"CS","CZ_NACE_RES","80004","5","01140","Pěstování cukrové třtiny","Pěstování cukrové třtiny","2008-01-01","9999-09-09","0114"
"CS","CZ_NACE_RES","80004","4","0115","Pěstování tabáku","Pěstování tabáku","2008-01-01","9999-09-09","011"
"CS","CZ_NACE_RES","80004","5","01150","Pěstování tabáku","Pěstování tabáku","2008-01-01","9999-09-09","0115"
"CS","CZ_NACE_RES","80004","4","0116","Pěstování přadných rostlin","Pěstování přadných rostlin","2008-01-01","9999-09-09","011"
"CS","CZ_NACE_RES","80004","5","01160","Pěstování přadných rostlin","Pěstování přadných rostlin","2008-01-01","9999-09-09","0116"
"CS","CZ_NACE_RES","80004","4","0119","Pěstování ostatních plodin jiných než trvalých","Pěstování ostatních plodin jiných než trvalých","2008-01-01","9999-09-09","011"
"CS","CZ_NACE_RES","80004","5","01190","Pěstování ostatních plodin jiných než trvalých","Pěstování ostatních plodin jiných než trvalých","2008-01-01","9999-09-09","0119"
"CS","CZ_NACE_RES","80004","3","012","Pěstování trvalých plodin","Pěstování trvalých plodin","2008-01-01","9999-09-09","01"
"CS","CZ_NACE_RES","80004","4","0121","Pěstování vinných hroznů","Pěstování vinných hroznů","2008-01-01","9999-09-09","012"
"CS","CZ_NACE_RES","80004","5","01210","Pěstování vinných hroznů","Pěstování vinných hroznů","2008-01-01","9999-09-09","0121"
"CS","CZ_NACE_RES","80004","4","0122","Pěstování tropického a subtropického ovoce","Pěstování tropického a subtropického ovoce","2008-01-01","9999-09-09","012"
"CS","CZ_NACE_RES","80004","5","01220","Pěstování tropického a subtropického ovoce","Pěstování tropického a subtropického ovoce","2008-01-01","9999-09-09","0122"
"CS","CZ_NACE_RES","80004","4","0123","Pěstování citrusových plodů","Pěstování citrusových plodů","2008-01-01","9999-09-09","012"
"CS","CZ_NACE_RES","80004","5","01230","Pěstování citrusových plodů","Pěstování citrusových plodů","2008-01-01","9999-09-09","0123"
"CS","CZ_NACE_RES","80004","4","0124","Pěstování jádrového a peckového ovoce","Pěstování jádrového a peckového ovoce","2008-01-01","9999-09-09","012"
"CS","CZ_NACE_RES","80004","5","01240","Pěstování jádrového a peckového ovoce","Pěstování jádrového a peckového ovoce","2008-01-01","9999-09-09","0124"
"CS","CZ_NACE_RES","80004","4","0125","Pěstování ostatního stromového a keřového ovoce a ořechů","Pěstování ostatního stromového a keřového ovoce a ořechů","2008-01-01","9999-09-09","012"
"CS","CZ_NACE_RES","80004","5","01250","Pěstování ostatního stromového a keřového ovoce a ořechů","Pěstování ostatního stromového a keřového ovoce a ořechů","2008-01-01","9999-09-09","0125"
"CS","CZ_NACE_RES","80004","4","0126","Pěstování olejnatých plodů","Pěstování olejnatých plodů","2008-01-01","9999-09-09","012"
